"id","recipe_id","step"
1,1,"Boil spaghetti until al dente."
2,1,"Sauté onion and ground beef until browned."
3,1,"Add tomato sauce and simmer for 30 minutes."
4,2,"Marinate chicken in yogurt and spices for 1 hour."
5,2,"Cook marinated chicken in a pan until golden."
6,2,"Add tomato puree and simmer for 15 minutes."
7,3,"Grill pork until slightly charred."
8,3,"Warm taco shells and fill with pork, pineapple, and onion."
9,4,"Fry chicken until golden."
10,4,"Add peppers and stir-fry for 3 mins."
11,4,"Add pineapple juice and soy sauce. Simmer 5 mins."
12,5,"Soak rice noodles in hot water until soft."
13,5,"Sauté shrimp and mix with noodles."
14,5,"Top with bean sprouts and crushed peanuts."
15,6,"Cook sushi rice and cool slightly."
16,6,"Place nori on mat, spread rice, add fillings."
17,6,"Roll tightly and slice."
18,7,"Chop and sauté all vegetables."
19,7,"Add tomato sauce and simmer until soft."
20,8,"Chop vegetables and mix in a bowl."
21,8,"Add feta and olives before serving."
22,9,"Grill beef patty until cooked through."
23,9,"Assemble burger with cheese, pickles, and bun."
